clade,taxon
Dasyuromorphia,Phascolosorex_dorsalis
Dasyuromorphia,Myrmecobius_fasciatus
Dasyuromorphia,Dasyurus_geffroii
Dasyuromorphia,Planigale_gilesi
Dasyuromorphia,Antechinus_godmani
Dasyuromorphia,Micromurexia_habbema
Dasyuromorphia,Dasyurus_hallucatus
Dasyuromorphia,Sarcophilus_harrisii
Dasyuromorphia,Antechinomys_laniger
Dasyuromorphia,Myoictis_leucura
Dasyuromorphia,Murexia_longicaudata
Dasyuromorphia,Neophascogale_lorentzii
Dasyuromorphia,Planigale_maculata
Dasyuromorphia,Murexechinus_melanurus
Dasyuromorphia,Pseudantechinus_mimulus
Dasyuromorphia,Antechinus_minimus
Dasyuromorphia,Phascomurexia_naso
Dasyuromorphia,Ningaui_ridei
Dasyuromorphia,Dasykaluta_rosamondae
Dasyuromorphia,Paramurexia_rothschildi
Dasyuromorphia,Phascogale_tapoatafa
Dasyuromorphia,Ningaui_timealeyi
Dasyuromorphia,Myoictis_wavicus
Peramelemorphia,Isoodon_auratus
Peramelemorphia,Echymipera_clara
Peramelemorphia,Chaeropus_ecaudatus
Peramelemorphia,Perameles_gunnii
Peramelemorphia,Macrotis_lagotis
Peramelemorphia,Macrotis_leucura
Peramelemorphia,Microperoryctes_longicauda
Peramelemorphia,Perameles_nasuta
Peramelemorphia,Isoodon_obesulus
Peramelemorphia,Microperoryctes_papuensis
Peramelemorphia,Rhynchomeles_prattorum
Peramelemorphia,Peroryctes_raffrayana
Peramelemorphia,Echymipera_rufescens
Phalangeridae+Burramyidae,Cercartetus_caudatus
Phalangeridae+Burramyidae,Cercartetus_concinnus
Phalangeridae+Burramyidae,Strigocuscus_celebensis
Phalangeridae+Burramyidae,Spilocuscus_kraemeri
Phalangeridae+Burramyidae,Spilocuscus_maculatus
Phalangeridae+Burramyidae,Phalanger_matanim
Phalangeridae+Burramyidae,Phalanger_vestitus
Phalangeridae+Burramyidae,Burramys_parvus
Phalangeridae+Burramyidae,Strigocuscus_pelengensis
Phalangeridae+Burramyidae,Wyulda_squamicaudata
Phalangeridae+Burramyidae,Ailurops_ursinus
Phalangeridae+Burramyidae,Trichosurus_vulpecula
Petauridae+Pseudocheiridae,Pseudochirulus_cinereus
Petauridae+Pseudocheiridae,Psueodochirops_corinnae
Petauridae+Pseudocheiridae,Pseudochirops_cupreus
Petauridae+Pseudocheiridae,Petropseudes_dahli
Petauridae+Pseudocheiridae,Gymnobelideus_leadbeateri
Petauridae+Pseudocheiridae,Petaurus_norfolcensis
Petauridae+Pseudocheiridae,Pseudocheirus_occidentalis
Petauridae+Pseudocheiridae,Dactylopsila_palpator
Petauridae+Pseudocheiridae,Pseudocheirus_peregrinus
Petauridae+Pseudocheiridae,Dactylopsila_trivirgata
Petauridae+Pseudocheiridae,Petauroides_volans
Vombatiformes,Lasiorhinus_latifrons
Vombatiformes,Vombatus_ursinus
Macropodidae+Potoroidae,Bettongia_lesueur
Macropodidae+Potoroidae,Dendrolagus_lumholtzi
Macropodidae+Potoroidae,Dorcopsis_muelleri
Macropodidae+Potoroidae,Bettongia_penicillata
Macropodidae+Potoroidae,Petrogale_purpureicollis
Macropodidae+Potoroidae,Osphranter_robustus
Macropodidae+Potoroidae,Petrogale_rothschildi
Macropodidae+Potoroidae,Aepyprymnus_rufescens
Macropodidae+Potoroidae,Notamacropus_rufogriseus
Macropodidae+Potoroidae,Osphranter_rufus
Macropodidae+Potoroidae,Thylogale_thetis
Macropodidae+Potoroidae,Potorous_tridactylus
Macropodidae+Potoroidae,Onychogalea_unguifera
Macropodidae+Potoroidae,Dorcopsulus_vanheurni
Antechinus+phascogale,Phascogale_calura
Antechinus+phascogale,Antechinus_godmani
Antechinus+phascogale,Antechinus_minimus
Antechinus+phascogale,Phascogale_tapoatafa
Dasyurus+Phascolosorex,Phascolosorex_dorsalis
Dasyurus+Phascolosorex,Dasyurus_geffroii
Dasyurus+Phascolosorex,Dasyurus_hallucatus
Isoodon+Perameles,Isoodon_auratus
Isoodon+Perameles,Perameles_gunnii
Isoodon+Perameles,Perameles_nasuta
Isoodon+Perameles,Isoodon_obesulus
